date,000300,000688,000922,000015,399989,931071,000069,930781,399975,399967,931066,930598,000819,950125,931637,399986,930633,931946
2025-02-17,0.21,1.45,-0.42,-0.39,1.44,2.23,-0.05,-4.87,0.32,-0.19,-0.73,0.29,-2.31,1.14,-0.04,-0.29,-0.49,0.02
2025-02-18,-0.88,-2.52,-0.34,-0.2,-2.59,-2.65,-1.31,-4.85,-2.61,-2.62,-2.39,-1.49,-0.78,0.32,2.79,1.07,-2.37,-1.45
2025-02-19,0.7,2.31,-0.28,-0.46,1.38,2.71,0.73,2.17,1.3,1.94,1.69,3.29,0.82,5.61,-0.65,-0.45,0.42,1.24
2025-02-20,-0.29,-0.14,-0.24,-0.38,3.07,-0.19,0.65,-1.37,-0.35,1.57,1.96,1.3,0.43,-0.51,-2.97,-0.12,0.08,-0.65
2025-02-21,1.26,5.97,-0.64,-0.77,0.96,5.81,0.97,2.19,2.08,1.02,0.44,0.35,-0.38,2.67,7.41,-1.26,0.48,-0.17
2025-02-24,-0.22,0.48,0.08,-0.26,-2.3,-0.14,-0.53,-0.84,-0.59,0.32,0.29,0.29,-0.04,1.38,-1.78,-0.74,1.26,0.87
2025-02-25,-1.11,0.26,-0.66,-0.58,-1.53,-1.46,-1.17,-3.19,-1.52,-0.62,-1.17,-0.89,-1.24,0.36,-2.74,-0.78,-0.92,-1.61
2025-02-26,0.87,2.17,1.25,0.88,0.52,1.0,0.63,0.59,2.57,0.72,0.92,1.3,0.51,0.36,3.67,0.51,0.33,0.77
2025-02-27,0.21,-0.05,1.11,0.86,0.07,-2.08,0.9,-0.67,-0.18,-1.11,-1.06,-0.9,-0.53,-1.02,-2.6,1.29,1.87,-0.07
2025-02-28,-1.97,-4.22,-0.73,-0.65,-2.71,-6.02,-1.4,-4.01,-3.12,-2.89,-2.12,-2.4,-1.57,-3.36,-4.84,-0.62,-0.9,-0.27
2025-03-03,-0.04,-1.52,-0.12,-0.29,0.87,-0.65,-0.46,0.94,-0.38,0.43,0.57,1.95,2.34,-0.47,0.77,-0.02,-0.37,0.87
2025-03-04,-0.08,1.72,0.01,-0.16,1.13,1.48,-0.17,-0.07,0.51,2.93,3.52,0.61,0.58,1.27,0.16,-0.16,0.32,0.86
2025-03-05,0.45,0.29,0.47,0.35,-1.2,1.63,-0.06,0.65,-0.05,0.31,-0.06,-0.54,0.84,0.39,4.57,1.72,0.28,-0.95
