日期,收盘点位,市值(港币),PE-TTM等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-07-04,=5216.2600,=14537296934489.8047,=44.1495,=0.2071,=430.7975,=76.4981,=44.0302
2025-07-03,=5233.7100,=14608208739191.1992,=43.4488,=0.1801,=430.7975,=76.5326,=44.0302
2025-07-02,=5269.1100,=14739955169475.9238,=44.0933,=0.2041,=430.7975,=76.6274,=44.0368
2025-06-30,=5302.8200,=14787678825342.5098,=43.5560,=0.1853,=430.7975,=76.7222,=44.0368
2025-06-27,=5341.4300,=14940937403659.3125,=44.9475,=0.2259,=430.7975,=76.7564,=44.0454
2025-06-26,=5345.1600,=14931758115323.2109,=44.6096,=0.2211,=442.2895,=76.7907,=44.0368
2025-06-25,=5359.0200,=15030253608835.4277,=44.2726,=0.2089,=442.2895,=76.8399,=44.0368
2025-06-24,=5297.9600,=14877851353534.7266,=43.8730,=0.1934,=442.2895,=76.8891,=44.0368
2025-06-23,=5187.0100,=14610024354789.6895,=42.6442,=0.1547,=442.2895,=76.9167,=44.0454
2025-06-20,=5133.1400,=14564327810054.1992,=42.4323,=0.1465,=442.2895,=76.9443,=44.0493
2025-06-19,=5088.3200,=14398819534351.6406,=42.6576,=0.1558,=455.6584,=76.9672,=44.0493
2025-06-18,=5214.4100,=14699118636844.6270,=43.7936,=0.1891,=455.6584,=76.9902,=44.0501
2025-06-17,=5291.8500,=14908916928727.6035,=44.3106,=0.2075,=455.6584,=76.9971,=44.0885
2025-06-16,=5299.9100,=14869938222057.7813,=44.0493,=0.1985,=455.6584,=77.0040,=44.0885
2025-06-13,=5239.7100,=14754723607829.8203,=44.1481,=0.2012,=455.6584,=77.0447,=44.1016
2025-06-12,=5331.3300,=14944940961901.9902,=43.7195,=0.1872,=457.3873,=77.0855,=44.0885
2025-06-11,=5451.2000,=15270453539864.4648,=43.2996,=0.1774,=457.3873,=77.1124,=44.1016
2025-06-10,=5392.1900,=15137112337399.6895,=43.8864,=0.1900,=457.3873,=77.1392,=44.1558
2025-06-09,=5433.2300,=15226462566630.4102,=44.9158,=0.2168,=457.3873,=77.3698,=44.1884
2025-06-06,=5286.5200,=13762091089866.2500,=46.5686,=0.2487,=457.3873,=77.6004,=44.1884
2025-06-05,=5319.9600,=13866757437197.9629,=45.6984,=0.2281,=462.5496,=77.8459,=44.1558
2025-06-04,=5219.0200,=13672920979226.2012,=45.3514,=0.2232,=462.5496,=78.0915,=44.1558
2025-06-03,=5189.4900,=13567964504994.2129,=43.7201,=0.1874,=462.5496,=78.2304,=44.1558
2025-06-02,=5134.1100,=13435844684908.0898,=43.4295,=0.1792,=462.5496,=78.3694,=44.1884
2025-05-30,=5170.4300,=13467607820527.6289,=43.2555,=0.1769,=462.5496,=78.7549,=44.2350
2025-05-29,=5301.9200,=13829040729278.2109,=44.3157,=0.2030,=475.1454,=79.1404,=44.2350
2025-05-28,=5174.6400,=13588665214360.3965,=43.5420,=0.1822,=475.1454,=79.2060,=44.2350
2025-05-27,=5182.6000,=13669881458756.6387,=43.7007,=0.1849,=475.1454,=79.2717,=44.2527
2025-05-26,=5157.6500,=13583684137914.0996,=43.1615,=0.1749,=475.1454,=79.2756,=44.2899
2025-05-23,=5246.8700,=13823674328331.8594,=43.6269,=0.1835,=475.1454,=79.2795,=44.3086
2025-05-22,=5251.7500,=13810338560855.0117,=42.5971,=0.1542,=479.7668,=79.2919,=44.3086
2025-05-21,=5342.4100,=14030695150145.7305,=45.1612,=0.2133,=479.7668,=79.3043,=44.4151
2025-05-20,=5315.5600,=13956475353659.8496,=45.9652,=0.2270,=479.7668,=79.4710,=44.4151
2025-05-19,=5255.0600,=13763851298476.6602,=44.8932,=0.2111,=479.7668,=79.6377,=44.4151
2025-05-16,=5281.3400,=13751596308313.5762,=43.9289,=0.1877,=479.7668,=79.6582,=44.4151
2025-05-15,=5297.8400,=13921191926485.7871,=45.5645,=0.2174,=482.4579,=79.6787,=44.4151
2025-05-14,=5381.7800,=14035017065122.0820,=45.8502,=0.2218,=482.4579,=79.6885,=44.4151
2025-05-13,=5269.6600,=13672006431952.7773,=46.8313,=0.2398,=482.4579,=79.6983,=44.4151
2025-05-12,=5447.3500,=14087190163047.9629,=47.3191,=0.2460,=482.4579,=79.8070,=44.4151
2025-05-09,=5180.2500,=13491429604289.1758,=45.1082,=0.2114,=482.4579,=79.9158,=44.4151
2025-05-08,=5228.9100,=13519154754516.8906,=46.0069,=0.2260,=484.6303,=79.9673,=44.3086
2025-05-07,=5200.0400,=13402783394335.6719,=46.1937,=0.2287,=484.6303,=80.0188,=44.3086
2025-05-06,=5239.5000,=13552872587712.3652,=46.4363,=0.2323,=484.6303,=80.0296,=44.3086
2025-05-02,=5244.0600,=13472036448603.6191,=44.5684,=0.2070,=484.6303,=80.0404,=44.3086
2025-04-30,=5087.4200,=13084649952176.5898,=42.7937,=0.1628,=484.6303,=80.1041,=44.3086
2025-04-29,=5019.7300,=12914334768973.4023,=41.6881,=0.1331,=502.1950,=80.1678,=44.3086
2025-04-28,=4988.9400,=12891808009825.5703,=41.8075,=0.1366,=502.1950,=80.2393,=44.4151
2025-04-25,=4982.9600,=12889596454650.1504,=42.0212,=0.1385,=502.1950,=80.3108,=44.4405
2025-04-24,=4975.8900,=12788197014080.5664,=42.1128,=0.1394,=502.1950,=80.3872,=44.4406
2025-04-23,=5049.4000,=12927313194431.3184,=44.0501,=0.1901,=502.1950,=80.4636,=44.4440
2025-04-22,=4899.2100,=12483257414400.6504,=43.1642,=0.1731,=512.8863,=80.5415,=44.4440
2025-04-17,=4887.3700,=12417384344207.0977,=44.1558,=0.1913,=512.8863,=80.6195,=44.4821
2025-04-16,=4796.2800,=12159278849105.3125,=43.6183,=0.1803,=512.8863,=80.6438,=44.4898
2025-04-15,=4981.6000,=12562036156577.8535,=44.4821,=0.1985,=512.8863,=80.6680,=44.5274
2025-04-14,=5015.1200,=12534325496007.8672,=44.5955,=0.2012,=512.8863,=80.7027,=44.5730
2025-04-11,=4900.4300,=12264553903647.8379,=45.1533,=0.2040,=519.1456,=80.7373,=44.5274
2025-04-10,=4813.7400,=12213121635265.8008,=43.7729,=0.1809,=519.1456,=80.7544,=44.5274
2025-04-09,=4689.1900,=12014875823903.1895,=42.5938,=0.1534,=519.1456,=80.7715,=44.5730
2025-04-08,=4568.3800,=11790302077243.9297,=41.2494,=0.1277,=519.1456,=80.7914,=44.7246
2025-04-07,=4401.5100,=11440199242619.7637,=40.0967,=0.1140,=519.1456,=80.8114,=44.7326
2025-04-03,=5313.2600,=13569884757572.1172,=48.7026,=0.2420,=523.0317,=81.1992,=44.7326
2025-04-02,=5426.4400,=13848031563130.0371,=51.1482,=0.2690,=523.0317,=81.5869,=44.7326
2025-04-01,=5407.3800,=13843295205716.9102,=51.3455,=0.2693,=523.0317,=81.6547,=44.7326
2025-03-31,=5394.7200,=13770643731477.7090,=51.7734,=0.2738,=523.0317,=81.7224,=44.7326
2025-03-28,=5506.4700,=14075163497024.3574,=51.7600,=0.2732,=523.0317,=81.8407,=44.7326
2025-03-27,=5589.1200,=14166403614787.4609,=50.5052,=0.2622,=529.5276,=81.9591,=44.7246
2025-03-26,=5573.0400,=14139020281749.0371,=50.4128,=0.2606,=529.5276,=82.0274,=44.7246
2025-03-25,=5517.5200,=13995462964989.5176,=50.2959,=0.2600,=529.5276,=82.0958,=44.7246
2025-03-24,=5736.8300,=14462788409517.7383,=52.8849,=0.2715,=529.5276,=82.1905,=44.7246
